totalworkingyears,yearswithcurrmanager,age,businesstravel,jobsatisfaction,environmentsatisfaction,department,worklifebalance,retired
9.0,0,0.380952380952381,2,4.0,3.0,1,3.0,0
11.0,2,0.2619047619047619,2,1.0,4.0,2,3.0,0
16.0,4,0.4523809523809524,2,1.0,4.0,2,3.0,0
4.0,2,0.4047619047619047,2,2.0,4.0,1,3.0,0
10.0,8,0.6428571428571428,2,4.0,2.0,2,2.0,0
10.0,8,0.42857142857142855,3,4.0,2.0,2,2.0,0
22.0,16,0.5238095238095237,2,1.0,1.0,2,3.0,0
1.0,0,0.19047619047619052,2,3.0,2.0,2,2.0,0
9.0,7,0.21428571428571425,2,3.0,1.0,2,2.0,0
24.0,7,0.7142857142857142,3,4.0,4.0,2,3.0,0
10.0,2,0.6190476190476188,2,1.0,2.0,1,3.0,0
5.0,0,0.380952380952381,1,1.0,4.0,2,3.0,1
5.0,0,0.9047619047619047,2,4.0,1.0,5,3.0,1
12.0,3,0.42857142857142855,2,2.0,3.0,2,1.0,0
14.0,4,0.5476190476190477,2,2.0,3.0,2,3.0,0
18.0,7,0.5714285714285714,2,1.0,3.0,2,4.0,0
8.0,4,0.3095238095238095,2,4.0,3.0,1,3.0,0
9.0,1,0.380952380952381,2,4.0,4.0,2,2.0,0
4.0,2,0.3095238095238095,2,3.0,1.0,1,2.0,0
8.0,7,0.19047619047619052,3,4.0,3.0,1,3.0,0
12.0,3,0.6428571428571428,3,3.0,2.0,2,3.0,0
10.0,9,0.35714285714285715,2,3.0,2.0,1,2.0,0
7.0,7,0.23809523809523808,3,4.0,3.0,1,3.0,0
1.0,0,0.2619047619047619,3,1.0,3.0,5,3.0,1
10.0,2,0.49999999999999994,1,3.0,1.0,2,3.0,0
6.0,2,0.21428571428571425,2,2.0,2.0,1,2.0,0
16.0,11,0.380952380952381,3,4.0,3.0,2,3.0,0
6.0,2,0.23809523809523808,2,3.0,4.0,2,3.0,1
16.0,7,0.6904761904761905,1,2.0,3.0,2,4.0,0
6.0,0,0.9047619047619047,2,1.0,4.0,2,3.0,0
10.0,9,0.49999999999999994,2,1.0,1.0,2,3.0,0
20.0,7,0.4761904761904761,3,2.0,4.0,2,3.0,0
29.0,0,0.9523809523809523,2,4.0,4.0,1,2.0,0
8.0,3,0.3333333333333333,3,3.0,1.0,2,3.0,1
10.0,3,0.4761904761904761,2,4.0,2.0,2,4.0,0
28.0,3,0.7380952380952379,3,4.0,2.0,1,3.0,0
14.0,0,0.5714285714285714,2,4.0,2.0,1,3.0,0
1.0,0,0.21428571428571425,3,2.0,1.0,1,3.0,1
6.0,4,0.4047619047619047,2,1.0,2.0,2,1.0,0
5.0,4,0.23809523809523808,1,3.0,3.0,2,2.0,0
4.0,3,0.3095238095238095,1,1.0,3.0,1,4.0,0
5.0,2,0.42857142857142855,1,2.0,1.0,2,3.0,0
14.0,1,0.380952380952381,2,4.0,1.0,1,2.0,0
9.0,1,0.380952380952381,2,3.0,4.0,2,2.0,0
8.0,6,0.19047619047619052,2,1.0,3.0,2,2.0,0
6.0,2,0.2619047619047619,2,1.0,1.0,2,2.0,0
9.0,2,0.3333333333333333,1,4.0,3.0,2,3.0,0
10.0,7,0.3095238095238095,3,1.0,4.0,2,3.0,0
6.0,3,0.23809523809523808,2,4.0,3.0,1,2.0,1
20.0,0,0.4761904761904761,2,1.0,1.0,2,2.0,0
10.0,9,0.4047619047619047,2,4.0,3.0,2,3.0,0
7.0,7,0.21428571428571425,2,4.0,4.0,1,3.0,0
8.0,0,0.3333333333333333,2,4.0,4.0,2,3.0,0
10.0,8,0.3095238095238095,3,4.0,1.0,2,3.0,1
15.0,2,0.8333333333333333,2,1.0,1.0,2,2.0,1
9.0,3,0.857142857142857,2,3.0,1.0,2,2.0,0
9.0,8,0.35714285714285715,3,3.0,4.0,2,3.0,0
10.0,9,0.5952380952380951,2,3.0,1.0,2,3.0,0
7.0,2,0.4761904761904761,3,2.0,4.0,2,3.0,0
35.0,4,0.8809523809523809,2,2.0,3.0,1,3.0,0
1.0,0,0.3095238095238095,2,4.0,4.0,1,3.0,0
21.0,10,0.49999999999999994,2,1.0,2.0,2,3.0,0
20.0,7,0.5714285714285714,1,3.0,4.0,2,3.0,0
13.0,8,0.3095238095238095,1,3.0,3.0,2,4.0,0
9.0,4,0.857142857142857,2,1.0,3.0,2,3.0,0
4.0,2,0.14285714285714285,2,3.0,2.0,2,2.0,0
5.0,4,0.11904761904761901,2,4.0,4.0,2,4.0,0
10.0,4,0.5238095238095237,3,3.0,4.0,2,4.0,0
15.0,10,0.5238095238095237,2,2.0,2.0,2,3.0,0
6.0,2,0.16666666666666669,2,2.0,3.0,1,3.0,0
12.0,7,0.28571428571428564,2,2.0,4.0,5,2.0,0
7.0,2,0.16666666666666669,2,3.0,4.0,2,2.0,0
25.0,11,0.6904761904761905,2,3.0,1.0,2,3.0,0
1.0,0,0.35714285714285715,1,3.0,2.0,2,2.0,0
16.0,8,0.4761904761904761,2,2.0,4.0,2,3.0,0
3.0,2,0.3095238095238095,2,3.0,1.0,2,3.0,0
10.0,7,0.4761904761904761,3,3.0,1.0,2,3.0,0
9.0,2,0.5714285714285714,2,1.0,4.0,2,2.0,0
12.0,0,0.5476190476190477,2,4.0,4.0,1,3.0,0
14.0,12,0.6904761904761905,1,2.0,3.0,2,1.0,0
5.0,2,0.4047619047619047,2,3.0,4.0,2,3.0,0
4.0,2,0.09523809523809518,2,3.0,4.0,5,4.0,0
10.0,8,0.4047619047619047,2,3.0,2.0,2,3.0,0
10.0,1,0.35714285714285715,2,4.0,2.0,1,3.0,0
6.0,1,0.3333333333333333,2,2.0,3.0,2,3.0,0
8.0,0,0.5238095238095237,2,4.0,1.0,2,2.0,0
3.0,2,0.3333333333333333,2,2.0,2.0,2,3.0,0
18.0,7,0.49999999999999994,2,4.0,1.0,2,3.0,0
20.0,11,0.4761904761904761,2,3.0,2.0,1,3.0,0
14.0,7,0.3333333333333333,2,4.0,3.0,2,3.0,0
16.0,8,0.4523809523809524,2,4.0,3.0,2,3.0,0
6.0,4,0.16666666666666669,2,3.0,1.0,2,2.0,0
16.0,0,0.8095238095238095,1,4.0,1.0,2,2.0,0
6.0,2,0.6190476190476188,2,4.0,2.0,2,3.0,0
2.0,2,0.07142857142857145,2,1.0,3.0,1,3.0,0
21.0,3,0.49999999999999994,1,4.0,4.0,2,2.0,0
1.0,0,0.11904761904761901,3,1.0,4.0,2,2.0,1
10.0,4,0.42857142857142855,2,4.0,1.0,2,3.0,0
18.0,2,0.42857142857142855,3,2.0,4.0,2,3.0,0
13.0,9,0.9047619047619047,1,3.0,3.0,2,2.0,0
4.0,2,0.2619047619047619,2,4.0,1.0,2,4.0,1
24.0,14,0.5714285714285714,2,3.0,1.0,2,2.0,0
14.0,8,0.9047619047619047,2,3.0,4.0,1,1.0,1
21.0,10,0.5476190476190477,2,2.0,1.0,2,3.0,0
8.0,7,0.380952380952381,2,3.0,4.0,1,3.0,0
15.0,11,0.42857142857142855,1,4.0,4.0,1,2.0,0
14.0,4,0.5476190476190477,2,2.0,3.0,2,3.0,0
4.0,2,0.3333333333333333,2,1.0,4.0,1,3.0,0
9.0,7,0.4047619047619047,2,4.0,3.0,2,3.0,0
10.0,9,0.4761904761904761,2,4.0,1.0,2,3.0,0
12.0,1,0.7619047619047619,3,3.0,2.0,1,3.0,1
8.0,0,0.42857142857142855,2,3.0,2.0,2,2.0,0
8.0,1,0.6428571428571428,2,3.0,4.0,1,3.0,0
8.0,2,0.5238095238095237,2,3.0,3.0,1,3.0,0
10.0,2,0.4047619047619047,3,3.0,3.0,1,4.0,0
20.0,2,0.5238095238095237,2,3.0,3.0,2,3.0,0
4.0,1,0.4047619047619047,2,4.0,3.0,5,3.0,0
10.0,3,0.2619047619047619,2,2.0,4.0,2,3.0,0
5.0,4,0.2619047619047619,2,1.0,4.0,2,1.0,0
20.0,0,0.7619047619047619,2,1.0,4.0,2,3.0,1
21.0,6,0.49999999999999994,2,4.0,2.0,1,2.0,0
10.0,7,0.3095238095238095,1,1.0,2.0,2,3.0,0
5.0,0,0.19047619047619052,2,3.0,4.0,2,3.0,0
17.0,3,0.42857142857142855,3,4.0,3.0,2,3.0,0
9.0,7,0.49999999999999994,2,1.0,4.0,2,3.0,0
6.0,3,0.21428571428571425,2,2.0,2.0,2,3.0,0
17.0,8,0.7380952380952379,3,2.0,4.0,2,2.0,0
6.0,2,0.380952380952381,2,3.0,2.0,1,4.0,0
8.0,5,0.5476190476190477,2,4.0,2.0,2,1.0,1
10.0,7,0.7380952380952379,3,2.0,3.0,1,3.0,0
7.0,0,0.4523809523809524,2,3.0,4.0,2,3.0,1
8.0,0,0.35714285714285715,3,3.0,4.0,2,3.0,0
6.0,2,0.21428571428571425,2,2.0,1.0,1,3.0,0
8.0,6,0.3333333333333333,3,4.0,4.0,2,2.0,0
12.0,0,0.976190476190476,2,1.0,3.0,1,2.0,0
1.0,0,0.28571428571428564,2,3.0,4.0,2,3.0,0
10.0,8,0.4761904761904761,3,3.0,4.0,1,3.0,0
17.0,7,0.42857142857142855,2,3.0,3.0,2,2.0,0
6.0,3,0.4047619047619047,2,2.0,1.0,5,3.0,0
10.0,8,0.2619047619047619,2,3.0,4.0,1,3.0,0
5.0,3,0.3095238095238095,2,3.0,4.0,2,2.0,0
3.0,2,0.380952380952381,2,4.0,2.0,2,3.0,0
6.0,3,0.23809523809523808,2,3.0,3.0,2,3.0,1
10.0,8,0.2619047619047619,2,1.0,2.0,2,3.0,0
7.0,5,0.3333333333333333,2,2.0,1.0,5,2.0,0
1.0,0,0.09523809523809518,1,4.0,4.0,2,2.0,0
31.0,7,0.8333333333333333,2,4.0,1.0,2,3.0,0
6.0,2,0.4761904761904761,2,4.0,4.0,2,3.0,0
5.0,3,0.14285714285714285,1,3.0,1.0,2,2.0,0
10.0,3,0.42857142857142855,2,1.0,3.0,2,3.0,1
13.0,11,0.380952380952381,2,2.0,1.0,1,3.0,0
0.0,0,0.07142857142857145,2,4.0,3.0,1,3.0,0
8.0,3,0.380952380952381,2,1.0,2.0,1,3.0,1
26.0,8,0.8333333333333333,2,3.0,3.0,1,2.0,0
10.0,7,0.3333333333333333,3,1.0,2.0,2,3.0,1
10.0,2,0.5714285714285714,2,2.0,3.0,2,3.0,0
24.0,17,0.6190476190476188,2,4.0,1.0,2,3.0,0
22.0,1,0.6666666666666665,2,1.0,2.0,1,2.0,0
7.0,0,0.35714285714285715,2,4.0,3.0,1,3.0,0
9.0,3,0.6190476190476188,2,4.0,4.0,5,4.0,0
10.0,8,0.28571428571428564,2,3.0,4.0,2,3.0,0
19.0,0,0.49999999999999994,2,4.0,4.0,5,4.0,1
6.0,0,0.14285714285714285,2,4.0,2.0,5,2.0,1
6.0,4,0.5952380952380951,2,3.0,4.0,1,2.0,0
3.0,2,0.7619047619047619,2,3.0,1.0,2,3.0,1
2.0,2,0.4047619047619047,2,4.0,4.0,1,3.0,0
6.0,0,0.42857142857142855,2,1.0,2.0,2,4.0,0
10.0,3,0.35714285714285715,3,1.0,3.0,1,3.0,0
1.0,0,0.4047619047619047,2,4.0,3.0,2,3.0,0
1.0,0,0.21428571428571425,2,1.0,4.0,1,3.0,0
9.0,7,0.21428571428571425,3,3.0,4.0,1,3.0,0
12.0,7,0.28571428571428564,3,4.0,3.0,2,3.0,0
23.0,8,0.5476190476190477,2,3.0,2.0,1,3.0,1
10.0,7,0.380952380952381,1,3.0,2.0,2,3.0,0
8.0,0,0.4523809523809524,2,2.0,2.0,2,3.0,0
14.0,8,0.6666666666666665,3,4.0,1.0,2,3.0,0
1.0,1,0.4047619047619047,2,4.0,4.0,2,3.0,0
23.0,0,0.7142857142857142,2,3.0,1.0,2,3.0,1
2.0,2,0.23809523809523808,2,3.0,3.0,2,2.0,1
9.0,3,0.6190476190476188,2,1.0,2.0,2,2.0,0
10.0,3,0.4047619047619047,1,1.0,3.0,2,3.0,0
5.0,0,0.19047619047619052,2,4.0,3.0,2,2.0,0
15.0,12,0.35714285714285715,3,4.0,1.0,1,3.0,0
9.0,8,0.4047619047619047,3,1.0,2.0,2,2.0,0
4.0,2,0.4047619047619047,2,1.0,3.0,5,3.0,0
10.0,7,0.3095238095238095,2,4.0,4.0,1,2.0,0
7.0,7,0.4523809523809524,2,3.0,1.0,1,4.0,0
9.0,8,0.3333333333333333,2,4.0,1.0,2,3.0,0
10.0,9,0.4761904761904761,3,4.0,4.0,2,3.0,0
29.0,8,0.7619047619047619,2,3.0,2.0,1,2.0,0
28.0,9,0.976190476190476,2,1.0,1.0,2,2.0,0
17.0,8,0.42857142857142855,2,3.0,3.0,1,3.0,0
21.0,2,0.8809523809523809,2,3.0,4.0,2,3.0,0
6.0,3,0.42857142857142855,3,2.0,2.0,2,3.0,0
25.0,0,0.6428571428571428,2,1.0,2.0,2,3.0,0
5.0,2,0.4047619047619047,3,1.0,2.0,5,2.0,0
2.0,0,0.42857142857142855,2,3.0,4.0,1,2.0,1
20.0,3,0.976190476190476,3,3.0,1.0,2,2.0,0
6.0,4,0.2619047619047619,2,2.0,3.0,2,3.0,0
1.0,0,0.3095238095238095,2,2.0,3.0,2,3.0,0
10.0,9,0.3333333333333333,2,2.0,2.0,1,3.0,0
5.0,0,0.42857142857142855,2,4.0,2.0,2,3.0,0
11.0,8,0.3095238095238095,2,4.0,3.0,2,3.0,0
16.0,8,0.4047619047619047,2,1.0,3.0,2,3.0,0
17.0,0,0.6428571428571428,2,1.0,4.0,5,4.0,0
16.0,2,0.4523809523809524,2,3.0,1.0,2,4.0,0
16.0,2,0.6666666666666665,2,2.0,2.0,2,3.0,0
10.0,0,0.28571428571428564,2,4.0,4.0,1,2.0,0
6.0,4,0.4047619047619047,2,3.0,2.0,2,3.0,0
24.0,0,0.8809523809523809,2,4.0,1.0,2,3.0,0
17.0,9,0.4761904761904761,1,4.0,2.0,1,3.0,0
5.0,3,0.380952380952381,2,2.0,1.0,2,3.0,0
37.0,2,0.9047619047619047,2,4.0,4.0,5,2.0,0
3.0,0,0.11904761904761901,2,1.0,3.0,2,3.0,0
10.0,3,0.7857142857142856,2,4.0,4.0,2,3.0,0
11.0,8,0.28571428571428564,2,4.0,3.0,1,3.0,0
9.0,7,0.6666666666666665,2,4.0,3.0,1,3.0,1
22.0,11,0.5238095238095237,3,2.0,3.0,2,2.0,0
11.0,0,0.7857142857142856,2,4.0,3.0,2,1.0,0
11.0,7,0.28571428571428564,2,2.0,3.0,2,2.0,0
21.0,5,0.6666666666666665,3,1.0,3.0,2,2.0,0
12.0,7,0.3333333333333333,2,3.0,2.0,1,3.0,0
16.0,3,0.857142857142857,2,3.0,1.0,2,1.0,0
4.0,2,0.14285714285714285,2,3.0,1.0,1,2.0,0
5.0,4,0.23809523809523808,1,3.0,2.0,1,4.0,0
38.0,8,0.9523809523809523,2,3.0,4.0,2,2.0,0
17.0,2,0.6190476190476188,1,2.0,2.0,2,4.0,0
7.0,2,0.4523809523809524,2,1.0,3.0,5,3.0,1
1.0,0,0.3333333333333333,2,1.0,4.0,5,3.0,0
1.0,0,0.047619047619047616,3,4.0,4.0,1,3.0,1
16.0,10,0.380952380952381,2,3.0,1.0,2,3.0,0
17.0,0,0.4523809523809524,1,4.0,3.0,1,4.0,0
30.0,2,0.976190476190476,1,4.0,3.0,2,3.0,0
28.0,7,0.7619047619047619,3,2.0,1.0,2,2.0,0
6.0,3,0.16666666666666669,2,3.0,3.0,1,3.0,1
2.0,1,0.16666666666666669,2,4.0,4.0,2,3.0,0
1.0,0,0.09523809523809518,2,4.0,2.0,2,3.0,0
23.0,8,0.7857142857142856,3,1.0,1.0,2,2.0,0
9.0,6,0.380952380952381,3,3.0,1.0,5,2.0,1
23.0,4,0.857142857142857,1,4.0,4.0,2,3.0,0
6.0,2,0.14285714285714285,2,3.0,2.0,2,3.0,0
12.0,0,0.380952380952381,2,2.0,3.0,1,3.0,0
12.0,3,0.4523809523809524,2,4.0,3.0,1,3.0,0
14.0,8,0.380952380952381,2,1.0,3.0,1,3.0,0
10.0,8,0.42857142857142855,3,4.0,2.0,5,3.0,0
7.0,0,0.42857142857142855,2,4.0,1.0,2,3.0,0
25.0,12,0.5952380952380951,3,4.0,3.0,2,4.0,0
10.0,9,0.28571428571428564,3,3.0,1.0,2,2.0,0
8.0,7,0.35714285714285715,1,2.0,3.0,1,4.0,0
7.0,3,0.9047619047619047,2,2.0,2.0,2,3.0,1
23.0,15,0.7857142857142856,2,3.0,1.0,2,3.0,0
12.0,7,0.3095238095238095,2,3.0,2.0,2,2.0,1
5.0,3,0.19047619047619052,2,2.0,3.0,1,2.0,0
40.0,6,0.9523809523809523,2,4.0,4.0,1,2.0,1
0.0,0,0.02380952380952378,2,3.0,4.0,2,2.0,1
3.0,1,0.09523809523809518,2,4.0,3.0,1,3.0,0
16.0,11,0.7380952380952379,2,1.0,3.0,2,2.0,0
18.0,2,0.5952380952380951,3,3.0,2.0,1,3.0,0
16.0,1,0.7619047619047619,3,4.0,3.0,2,3.0,0
4.0,2,0.3095238095238095,2,3.0,2.0,2,3.0,1
12.0,7,0.5476190476190477,2,3.0,3.0,2,3.0,0
8.0,7,0.19047619047619052,2,3.0,3.0,2,3.0,0
7.0,1,0.42857142857142855,2,2.0,2.0,5,3.0,0
18.0,3,0.7857142857142856,3,4.0,1.0,2,3.0,1
17.0,9,0.49999999999999994,2,3.0,4.0,2,4.0,0
6.0,2,0.16666666666666669,2,3.0,1.0,1,3.0,0
12.0,7,0.28571428571428564,2,4.0,3.0,2,1.0,0
10.0,4,0.3333333333333333,2,1.0,1.0,2,4.0,1
9.0,3,0.6428571428571428,2,4.0,3.0,2,2.0,0
19.0,2,0.4761904761904761,2,3.0,4.0,2,3.0,0
5.0,4,0.28571428571428564,2,3.0,1.0,1,2.0,0
9.0,7,0.3333333333333333,3,4.0,4.0,1,4.0,0
8.0,2,0.28571428571428564,2,1.0,4.0,2,3.0,0
6.0,2,0.28571428571428564,2,4.0,2.0,1,3.0,0
21.0,7,0.5476190476190477,3,1.0,4.0,1,2.0,0
7.0,4,0.5476190476190477,2,1.0,3.0,2,3.0,0
1.0,0,0.02380952380952378,2,2.0,2.0,2,3.0,0
20.0,13,0.5238095238095237,3,2.0,2.0,2,3.0,0
10.0,6,0.4047619047619047,2,2.0,3.0,1,3.0,0
13.0,5,0.8333333333333333,2,3.0,2.0,1,1.0,0
20.0,15,0.6428571428571428,2,2.0,2.0,1,1.0,0
9.0,7,0.3333333333333333,3,4.0,2.0,1,3.0,0
10.0,9,0.2619047619047619,1,3.0,4.0,2,3.0,0
10.0,0,0.7857142857142856,2,3.0,2.0,2,3.0,0
9.0,0,0.9523809523809523,2,2.0,2.0,1,2.0,0
15.0,11,0.5238095238095237,2,4.0,3.0,2,2.0,0
6.0,2,0.380952380952381,3,3.0,3.0,1,3.0,0
2.0,2,0.09523809523809518,2,4.0,3.0,2,3.0,0
6.0,2,0.21428571428571425,1,2.0,4.0,2,1.0,0
5.0,2,0.23809523809523808,2,4.0,3.0,1,1.0,0
12.0,4,0.9285714285714284,2,4.0,3.0,2,1.0,0
1.0,1,0.21428571428571425,1,3.0,3.0,2,2.0,0
21.0,4,0.7619047619047619,2,2.0,3.0,2,3.0,0
13.0,8,0.5476190476190477,2,3.0,1.0,1,3.0,0
12.0,4,0.28571428571428564,2,4.0,2.0,5,3.0,0
12.0,7,0.4761904761904761,2,4.0,1.0,1,4.0,0
8.0,4,0.3333333333333333,2,3.0,3.0,2,3.0,0
6.0,1,0.21428571428571425,2,2.0,3.0,2,2.0,0
13.0,2,0.42857142857142855,3,2.0,4.0,1,2.0,0
12.0,10,0.28571428571428564,1,1.0,3.0,1,3.0,0
9.0,3,0.6428571428571428,2,1.0,3.0,2,4.0,0
19.0,2,0.9047619047619047,2,1.0,3.0,2,3.0,0
4.0,2,0.35714285714285715,2,4.0,3.0,2,4.0,0
1.0,0,0.02380952380952378,2,4.0,2.0,2,2.0,1
24.0,7,0.6666666666666665,2,1.0,2.0,2,3.0,0
2.0,1,0.4761904761904761,2,4.0,3.0,1,3.0,0
7.0,2,0.3095238095238095,2,4.0,3.0,1,3.0,0
9.0,2,0.380952380952381,2,2.0,4.0,1,3.0,0
4.0,2,0.5476190476190477,2,2.0,2.0,2,2.0,1
5.0,2,0.7619047619047619,2,3.0,3.0,1,2.0,0
5.0,3,0.8333333333333333,2,1.0,4.0,1,3.0,0
8.0,6,0.35714285714285715,2,2.0,4.0,2,3.0,0
21.0,9,0.5238095238095237,2,3.0,4.0,2,3.0,0
36.0,15,0.8809523809523809,2,2.0,3.0,2,3.0,0
10.0,9,0.380952380952381,3,3.0,4.0,5,2.0,0
21.0,0,0.7857142857142856,2,2.0,4.0,5,3.0,0
34.0,9,0.8095238095238095,2,3.0,3.0,2,3.0,0
7.0,3,0.21428571428571425,2,2.0,4.0,1,2.0,0
8.0,1,0.4047619047619047,2,3.0,2.0,2,3.0,1
7.0,2,0.5952380952380951,1,4.0,4.0,2,4.0,0
22.0,8,0.6428571428571428,1,4.0,1.0,2,3.0,0
8.0,7,0.4523809523809524,2,1.0,2.0,2,3.0,0
10.0,2,0.4047619047619047,3,2.0,2.0,2,3.0,0
11.0,2,0.5714285714285714,1,3.0,3.0,2,3.0,0
14.0,0,0.4761904761904761,2,3.0,4.0,1,3.0,0
9.0,7,0.4761904761904761,2,4.0,4.0,5,1.0,0
6.0,0,0.21428571428571425,3,1.0,3.0,2,3.0,0
7.0,7,0.7380952380952379,1,4.0,4.0,2,3.0,0
5.0,0,0.380952380952381,3,3.0,4.0,2,4.0,0
15.0,7,0.5238095238095237,2,4.0,3.0,2,4.0,0
17.0,0,0.4761904761904761,2,1.0,2.0,1,3.0,1
10.0,9,0.2619047619047619,2,4.0,2.0,1,2.0,1
4.0,2,0.09523809523809518,2,2.0,4.0,2,2.0,0
8.0,7,0.42857142857142855,3,4.0,2.0,2,3.0,0
5.0,2,0.5238095238095237,1,4.0,4.0,2,1.0,0
17.0,3,0.6666666666666665,2,1.0,4.0,2,3.0,0
14.0,8,0.3333333333333333,2,4.0,4.0,2,2.0,1
12.0,8,0.28571428571428564,1,3.0,3.0,2,3.0,0
7.0,7,0.21428571428571425,3,3.0,4.0,2,3.0,0
16.0,7,0.7857142857142856,2,2.0,2.0,2,1.0,0
8.0,4,0.28571428571428564,2,1.0,4.0,2,3.0,1
16.0,0,0.5476190476190477,2,4.0,4.0,2,3.0,0
9.0,1,0.28571428571428564,3,1.0,3.0,1,2.0,1
7.0,5,0.2619047619047619,2,3.0,3.0,2,2.0,1
23.0,8,0.6428571428571428,1,4.0,4.0,2,3.0,0
16.0,5,0.857142857142857,2,1.0,4.0,1,3.0,0
16.0,7,0.42857142857142855,2,2.0,4.0,2,4.0,0
7.0,1,0.35714285714285715,2,2.0,3.0,1,3.0,0
10.0,7,0.4523809523809524,3,4.0,2.0,1,3.0,0
17.0,13,0.4761904761904761,2,3.0,1.0,2,2.0,0
6.0,4,0.3095238095238095,1,3.0,3.0,1,3.0,0
7.0,0,0.976190476190476,2,4.0,3.0,2,3.0,0
13.0,8,0.4523809523809524,3,4.0,1.0,1,3.0,0
11.0,1,0.2619047619047619,3,4.0,2.0,1,3.0,0
10.0,8,0.4047619047619047,3,3.0,3.0,2,4.0,0
4.0,1,0.2619047619047619,2,4.0,3.0,2,2.0,1
6.0,2,0.8095238095238095,2,4.0,3.0,2,2.0,0
22.0,15,0.5714285714285714,2,4.0,3.0,2,3.0,0
7.0,2,0.976190476190476,2,3.0,2.0,2,2.0,0
32.0,6,0.7619047619047619,2,4.0,4.0,2,2.0,0
8.0,4,0.35714285714285715,2,4.0,3.0,1,1.0,1
22.0,9,0.5952380952380951,2,4.0,4.0,1,3.0,0
13.0,7,0.35714285714285715,2,1.0,1.0,1,4.0,1
33.0,12,0.8095238095238095,1,3.0,1.0,2,4.0,0
6.0,2,0.3333333333333333,2,2.0,3.0,5,3.0,0
4.0,2,0.3333333333333333,2,3.0,4.0,1,1.0,1
7.0,2,0.49999999999999994,2,3.0,3.0,1,3.0,0
4.0,2,0.3333333333333333,1,4.0,3.0,1,3.0,0
17.0,0,0.5476190476190477,2,1.0,3.0,1,2.0,0
9.0,7,0.5238095238095237,2,4.0,1.0,2,3.0,0
25.0,7,0.6428571428571428,2,4.0,3.0,2,3.0,0
9.0,2,0.3095238095238095,3,3.0,2.0,2,3.0,0
2.0,2,0.35714285714285715,2,4.0,3.0,2,2.0,0
13.0,9,0.380952380952381,2,1.0,4.0,2,3.0,0
17.0,2,0.4523809523809524,2,1.0,3.0,2,2.0,0
9.0,2,0.6428571428571428,3,3.0,1.0,1,3.0,0
17.0,0,0.4523809523809524,3,3.0,1.0,1,3.0,1
20.0,8,0.49999999999999994,3,3.0,3.0,2,3.0,0
6.0,5,0.2619047619047619,2,4.0,3.0,1,3.0,0
10.0,2,0.5714285714285714,2,1.0,4.0,2,3.0,0
10.0,2,0.2619047619047619,2,4.0,4.0,2,3.0,0
5.0,2,0.16666666666666669,2,3.0,1.0,2,3.0,0
10.0,8,0.5714285714285714,2,3.0,4.0,1,3.0,0
22.0,9,0.5238095238095237,2,3.0,1.0,2,3.0,0
1.0,0,0.7857142857142856,2,4.0,3.0,1,3.0,0
5.0,3,0.3333333333333333,3,2.0,2.0,2,1.0,0
13.0,5,0.4761904761904761,1,4.0,4.0,2,3.0,0
9.0,4,0.3333333333333333,2,1.0,4.0,2,3.0,0
28.0,7,0.6666666666666665,2,2.0,3.0,2,2.0,0
5.0,0,0.23809523809523808,2,3.0,3.0,2,1.0,1
10.0,0,0.2619047619047619,2,2.0,1.0,2,3.0,0
10.0,8,0.3095238095238095,2,4.0,2.0,2,3.0,0
6.0,5,0.16666666666666669,1,1.0,2.0,2,3.0,0
21.0,10,0.6428571428571428,2,4.0,3.0,2,3.0,0
16.0,11,0.42857142857142855,2,4.0,4.0,2,3.0,0
37.0,13,0.8809523809523809,2,1.0,4.0,2,3.0,0
10.0,9,0.6904761904761905,1,2.0,1.0,2,2.0,1
5.0,4,0.23809523809523808,2,4.0,4.0,2,2.0,0
7.0,1,0.4523809523809524,2,4.0,3.0,2,4.0,0
3.0,0,0.07142857142857145,2,3.0,4.0,2,4.0,0
15.0,2,0.4523809523809524,1,4.0,1.0,2,3.0,0
10.0,2,0.4047619047619047,2,2.0,2.0,1,2.0,0
8.0,7,0.4761904761904761,2,1.0,1.0,2,3.0,0
6.0,4,0.19047619047619052,3,2.0,3.0,2,1.0,0
28.0,6,0.7619047619047619,2,2.0,1.0,1,2.0,0
21.0,3,0.8333333333333333,2,3.0,3.0,2,2.0,0
20.0,6,0.5714285714285714,2,3.0,2.0,2,3.0,0
10.0,9,0.2619047619047619,3,4.0,2.0,2,2.0,0
12.0,8,0.8809523809523809,2,4.0,2.0,2,3.0,0
5.0,3,0.19047619047619052,3,1.0,1.0,2,3.0,0
17.0,7,0.4523809523809524,2,4.0,4.0,1,3.0,0
19.0,0,0.6190476190476188,3,3.0,4.0,2,1.0,1
10.0,2,0.4761904761904761,2,4.0,4.0,1,3.0,0
5.0,2,0.19047619047619052,2,2.0,1.0,2,3.0,1
5.0,2,0.23809523809523808,2,4.0,4.0,2,3.0,0
22.0,2,0.7380952380952379,3,1.0,3.0,2,3.0,0
10.0,7,0.42857142857142855,2,2.0,3.0,1,3.0,0
2.0,2,0.3095238095238095,3,2.0,4.0,2,2.0,0
8.0,4,0.19047619047619052,2,4.0,4.0,2,3.0,1
4.0,2,0.4523809523809524,3,4.0,2.0,1,2.0,0
23.0,8,0.5714285714285714,3,2.0,3.0,1,4.0,0
0.0,0,0.0,2,3.0,3.0,2,3.0,1
12.0,9,0.4047619047619047,2,2.0,3.0,1,2.0,0
